,,,,,Paper Information,,,,,,,,Population Information,,,,,,,,,,,,,Demographic Characteristics,,,,,,,Exposure history,,,,,,,,,,,Comorbidities,,,,,,,,,,,,Symptoms,,,,,,,,,,,,,,,,,,,,,,,Labs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatments,,,,,,,,,,,,,,,,,,Medical Outcomes,,,,,,,,,,,,,,Outcomes,,,,,,,,Outcomes (Imaging),,
31,0,China and outside China,,507,Early epidemiological analysis of the coronavirus disease 2019 outbreak based on crowdsourced data: a population- level observational study,Lancet,Sun et al.,https://www.thelancet.com/action/showPdf?pii=S2589-7500%2820%2930026-1,English,data available here: https://docs.google.com/spreadsheets/d/1Gb5cyg0fjUtsqh3hl_L-C5A23zIOXmWH5veBklfSHzg/edit#gid=447265963,Yuchen,Irra,1/20/2020,1/31/2020,11,Top-level,,Positive only,End-point and active,Both,Both,No,ΝΑ,All,NA,,46,,35,60,,55%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na,,,,7.89%,,,,
32,0,China,Beijing,262,Characteristics of COVID-19 infection in Beijing,Journal of Infection,Tian et al.,https://www.sciencedirect.com/science/article/pii/S0163445320301018,English,,Agni,Irra,1/20/2020,2/10/2020,21,Top-level,All cases,Positive only,End-point and active,Both,Both,No,ΝΑ,All,NA,47.5,,,,,,48.50%,92%,40.50%,49.20%,,6.7,,,,,,,,,,,,,,,,,,,,,,82.10%,,37.7,45.80%,6.90%,6.50%,,,26.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.70%,,17.20%,,,,0.90%,4.97%,,,
32,1,China,Beijing,46,Characteristics of COVID-19 infection in Beijing,Journal of Infection,Tian et al.,https://www.sciencedirect.com/science/article/pii/S0163445320301018,English,,Agni,,1/20/2020,2/10/2020,21,Subgroup,severe,Positive only,End-point and active,Both,Both,No,ΝΑ,Severe/Critical Only,NA,61.4,,,,,,56.50%,89.10%,28.30%,56.50%,,7.5,,,,,,,,,,,,,,,,,,,,,,80.40%,,37.7,54.30%,32.60%,6.50%,,,32.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.10%,,4.30%,,,,6.50%,60.19%,,,
34,0,China,Wuhan,5,Clinical characteristics of severe acute respiratory syndrome coronavirus 2 reactivation,Journal of Infection,Ye et al.,https://www.sciencedirect.com/science/article/pii/S0163445320301146,English,Not relevant now (only repeat cases). Individual patient level,EXCLUDE,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2,China,Beijing,216,Characteristics of COVID-19 infection in Beijing,Journal of Infection,Tian et al.,https://www.sciencedirect.com/science/article/pii/S0163445320301018,English,"contains 192 mild cases, 11 non-pneumonia cases, 13 asymptomatic cases",Agni,,1/20/2020,2/10/2020,21,Subgroup,common,Positive only,End-point and active,Survivors only,Both,No,ΝΑ,Mild only,NA,44.5,,,,,,46.80%,92.60%,43.10%,47.70%,,6.5,,,,,,,,,,,,,,,,,,,,,,82.40%,,37.7,44.00%,1.40%,6.50%,,,25.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.10%,,19.90%,,,,0.00%,0.00%,,,
33,0,China,Wuhan,9,Clinical characteristics and intrauterine vertical transmission potential of COVID-19 infection in nine pregnant women: a retrospective review of medical records,Lancet,Chen et al.,https://www.sciencedirect.com/science/article/pii/S0140673620303603,English,"Not applicable for now specific to pregnant women (probably too specific for now) - isolated data per patient, could be useful if we decide to create a dataset with personalized information",EXCLUDE,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na,,,,0.00%,,,,
35,1,China,Anhui,6,CT manifestations of coronavirus disease-2019: A retrospective analysis of 73 cases by disease severity,European Journal of Radiology,Liu et al.,https://www.sciencedirect.com/science/article/pii/S0720048X20301303,English,"given ""appropriate treatment"" (unspecified), include CT findings",Holly,,1/21/2020,2/3/2020,13,Subgroup,Mild,Positive only,End-point and active,,Both,Yes,,Mild only,,,29.2,10.9,,,,50%,,67%,33%,,,,,,,,,,,,,,,,,,,,,,,,83%,,,67%,,0%,17%,,67%,,,,0,11%,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na,,,,0.00%,,,,
35,2,China,Anhui,43,CT manifestations of coronavirus disease-2019: A retrospective analysis of 73 cases by disease severity,European Journal of Radiology,Liu et al.,https://www.sciencedirect.com/science/article/pii/S0720048X20301303,English,"given ""appropriate treatment"" (unspecified), include CT findings",Holly,,1/21/2020,2/3/2020,13,Subgroup,Common,Positive only,End-point and active,,Both,Yes,,Mild only,,,33.4,12.2,,,,65%,,67%,28%,,,,,,,,,,,,,,,,,,,,,,,,93%,,,84%,,11%,51%,,72%,,,,19%,7%,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na,,,,0.00%,,,,
35,3,China,Anhui,21,CT manifestations of coronavirus disease-2019: A retrospective analysis of 73 cases by disease severity,European Journal of Radiology,Liu et al.,https://www.sciencedirect.com/science/article/pii/S0720048X20301303,English,"given ""appropriate treatment"" (unspecified), include CT findings",Holly,,1/21/2020,2/3/2020,13,Subgroup,Severe,Positive only,End-point and active,,Both,Yes,,Severe/Critical Only,,,44.2,12,,,,48%,,85%,10%,,,,,,,,,,,,,,,,,,,,,,,,95%,,,86%,,10%,67%,,81%,,,,43%,10%,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na,,,,0.00%,,,,
35,4,China,Anhui,3,CT manifestations of coronavirus disease-2019: A retrospective analysis of 73 cases by disease severity,European Journal of Radiology,Liu et al.,https://www.sciencedirect.com/science/article/pii/S0720048X20301303,English,"given ""appropriate treatment"" (unspecified), include CT findings",Holly,,1/21/2020,2/3/2020,13,Subgroup,Critical,Positive only,End-point and active,,Both,Yes,,Severe/Critical Only,,,63,21.2,,,,0%,,100%,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,67%,,33%,67%,,100%,,,,100%,0%,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na,,,,0.00%,,,,
36,1,China,Shenzhen,35,Experimental Treatment with Favipiravir for COVID-19: An Open-Label Control Study,Engineering,Cai et al.,https://www.sciencedirect.com/science/article/pii/S2095809920300631,English,"treatment study; only improve/decline, changed from End-point only to End-point and active because Viral clearance was assumed to be cured, and it did not appear everyone was",Holly,,1/24/2020,2/14/2020,21,Subgroup,FPV,Positive only,End-point and active,Survivors only,Both,Yes,Non-ICU only,All,Non-ventilation only,43,,,35.5,59,,40.00%,57.10%,57.10%,,,,,,,,,,,,,,,,,,,,,,,,,62.90%,,,34.30%,,8.60%,,,,,2.90%,,,17.10%,0%,,,,,,8.1,3.8,6.6,,,,,1,,,1.5,1,1.8,,,,,,,,3,21.6,24.1,26.9,15,14,,,,,,,593.3,397.8,,,,,,,,100%,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na,,,4.00,0.00%,,91.43%,6.45%,3.23%
36,2,China,Shenzhen,45,Experimental Treatment with Favipiravir for COVID-19: An Open-Label Control Study,Engineering,Cai et al.,https://www.sciencedirect.com/science/article/pii/S2095809920300631,English,treatment study; only improve/decline,Holly,,1/24/2020,2/14/2020,21,Subgroup,LPV/RTV,Positive only,End-point and active,Survivors only,Both,Yes,Non-ICU only,All,Non-ventilation only,49,,,36,61,,46.70%,57.80%,57.80%,,,,,,,,,,,,,,,,,,,,,,,,,82.20%,,,22.20%,,11.10%,,,,,0%,,,4.40%,2.20%,,,,,,4.3,3.4,4.9,,,,,1,,,1.2,0.9,1.4,,,,,,,,2.6,22.6,25.8,24.4,21.4,12.9,,,,,,,542.3,326.4,,,,,,,,100%,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na,,,11.00,0.00%,,62.22%,17.78%,20.00%
37,1,China,Beijing,9,Clinical and computed tomographic imaging features of novel coronavirus pneumonia caused by SARS-CoV-2,Journal of Infection,Xu et al.,https://www.sciencedirect.com/science/article/pii/S0163445320301006,English,include CT findings,Holly,,1/1/2020,2/21/2020,51,Subgroup,Mild,Positive only,Active only,Both,Both,No,Non-ICU only,Mild only,Non-ventilation only,,,,,,,78%,,89%,11%,,,,,,,,,,,,,,,,,,,,,,,,67%,,,33%,,,11%,0%,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na,,,,0.00%,,,,
37,2,China,Beijing,28,Clinical and computed tomographic imaging features of novel coronavirus pneumonia caused by SARS-CoV-2,Journal of Infection,Xu et al.,https://www.sciencedirect.com/science/article/pii/S0163445320301006,English,include CT findings,Holly,,1/1/2020,2/21/2020,51,Subgroup,Moderate,Positive only,Active only,Both,Both,No,Non-ICU only,Mild only,Non-ventilation only,,,,,,,54%,,57%,39%,,,,,,,,,,,,,,,,,,,,,,,,96%,,,39%,,,14%,14%,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na,,,,0.00%,,,,
37,3,China,Beijing,10,Clinical and computed tomographic imaging features of novel coronavirus pneumonia caused by SARS-CoV-2,Journal of Infection,Xu et al.,https://www.sciencedirect.com/science/article/pii/S0163445320301006,English,include CT findings,Holly,,1/1/2020,2/21/2020,51,Subgroup,Severe,Positive only,Active only,Both,Both,No,Non-ICU only,Severe/Critical Only,Non-ventilation only,,,,,,,70%,,60%,40%,,,,,,,,,,,,,,,,,,,,,,,,80%,,,40%,,,10%,30%,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na,,,,0.00%,,,,
37,4,China,Beijing,3,Clinical and computed tomographic imaging features of novel coronavirus pneumonia caused by SARS-CoV-2,Journal of Infection,Xu et al.,https://www.sciencedirect.com/science/article/pii/S0163445320301006,English,include CT findings,Holly,,1/1/2020,2/21/2020,51,Subgroup,Critically Severe,Positive only,Active only,Both,Both,No,ICU only,Severe/Critical Only,Both,,,,,,,0%,,0%,67%,,,,,,,,,,,,,,,,,,,,,,,,67%,,,67%,,,33%,33%,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na,,,,0.00%,,,,
38,0,China,Shanghai,249,"Clinical progression of patients with COVID-19 in Shanghai, China",Journal of Infection,Chen et al. ,https://www.sciencedirect.com/science/article/pii/S0163445320301195,English,no subgroups; doesn't discuss treatments,Ryan,Irra,1/20/2020,2/6/2020,17,Top-level,All,Positive only,End-point and active,Both,Both,No,Both,All,NA,51,51,,36,64,,50.60%,,,,,,,,4,4,2,7,,,36.10%,21.70%,,,,,0.40%,,,16.40%,,,,87.10%,,,36.50%,7.60%,11.20%,,,15.70%,,3.20%,,3.20%,6.40%,,,2.80%,10%,5%,5%,4.71,3.8,5.86,,,,,1,,12,1.12,0.79,1.49,,,,,,,,,23,25,,12,,,,,,,,431,256.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.20%,,,,,,,,,,,,8.80%,86.30%,,16,,0.80%,0.92%,,,
39,1,China,Zhejiang,72,"Epidemiological, clinical characteristics of cases of SARS-CoV-2 infection with abnormal imaging findings",Intl Journal of Infectious Disease,Zhang et al.,https://www.sciencedirect.com/science/article/pii/S1201971220301727,English,non-intesive and intensive ventilation reported together.,Kim,Irra,1/17/2020,2/8/2020,22,Subgroup,Normal Imaging Findings,Positive only,Active only,Both,Both,Yes,ΝΑ,All,NA,,34.9,14.2,,,,45.80%,,91.70%,8.30%,,,,,,,,,,,16.70%,5.60%,5.60%,0%,,0%,0%,,0%,4.20%,,,,66.70%,,,45.80%,0,2.80%,23.60%,7%,12.50%,,11.10%,,,23.60%,,,,,,,5.42,3.42,7.42,141.04,,125.42,156.66,1,,,1.39,0.78,2,198.44,,140,256.88,9.11,4.25,13.97,3.48,25.53,26.67,,2.3,,,,,,,,,,,,,,,,,77.80%,,,,,,,,11.10%,,0,0,0%,0%,0%,,,,,,0%,,,,8.30%,,,0%,,,,,0%,na,,,,,,,,
39,2,China,Zhejiang,573,"Epidemiological, clinical characteristics of cases of SARS-CoV-2 infection with abnormal imaging findings",Intl Journal of Infectious Disease,Zhang et al.,https://www.sciencedirect.com/science/article/pii/S1201971220301727,English,include imaging findings,Kim,,1/17/2020,2/8/2020,22,Subgroup,Abnormal Imaging Findings,Positive only,Active only,Both,Both,Yes,ΝΑ,All,NA,,46.65,13.82,,,,51.50%,,81.00%,19%,,,,,,,,,,,28.80%,16.80%,7.70%,1%,,0%,1%,,1%,6.50%,,,,85.90%,,,68.40%,4.50%,11.30%,36%,11.50%,19%,,7.90%,,,14%,,,,,,,5.01,3.14,6.88,138.09,,121.62,154.56,1,,,1.23,0.71,1.75,185.22,,122.8,247.64,11.26,3.22,19.3,3.29,29.37,30.08,,8.8,,,,,,,,,,,,,,,,,85.20%,,,,,,,,43.60%,,1.60%,1.60%,0%,13.40%,0%,,,,,,2.40%,,,,13.10%,,,0.30%,,,,,0.70%,na,,,,,,,,
40,1,China,Changzhou,15,Clinical features and dynamics of viral load in imported and non-imported patients with COVID-19,Intl Journal of Innfectious Diseases,Xu et al.,https://www.sciencedirect.com/science/article/pii/S1201971220301417,English,"breakdown by contact (direct vs. secondary, tertiary transmission)",Kim,,1/23/2020,2/18/2020,26,Subgroup,Imported contact,Positive only,End-point only,Both,Both,No,ΝΑ,Mild only,NA,35,,,29,51,,66.70%,,,,,8,4,10,,,,,,,0%,,0%,0%,,0%,,,0%,0%,,,,73.30%,,,33.30%,13.30%,,20%,26.70%,6.70%,,13.30%,,,,,,,100%,,,5.2,4.6,6.3,,,,,0,,,1.5,0.9,2.1,,,,,,,,,22.9,19,,4.4,,,,,,,,399,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,na,,,,,,,,
40,2,China,Changzhou,17,Clinical features and dynamics of viral load in imported and non-imported patients with COVID-19,,Xu et al.,https://www.sciencedirect.com/science/article/pii/S1201971220301417,,,Kim,,1/23/2020,2/18/2020,26,Subgroup,Secondary contact,Positive only,End-point only,Both,Both,No,ΝΑ,Mild only,NA,37,,,24,47.5,,41.20%,,,,,8,4,11,,,,,,,23.50%,,5.90%,11.80%,,0%,,,5.90%,0%,,,,58.80%,,,52.90%,5.90%,,35.30%,11.80%,0%,,5.90%,,,,,,,100%,,,4.8,3.4,6.2,,,,,0,,,1.1,1,1.9,,,,,,,,,13.5,17,,2.2,,,,,,,,375,267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,na,,,,,,,,
40,3,China,Changzhou,19,Clinical features and dynamics of viral load in imported and non-imported patients with COVID-19,,Xu et al.,https://www.sciencedirect.com/science/article/pii/S1201971220301417,,,Kim,,1/23/2020,2/18/2020,26,Subgroup,Terciary contact,Positive only,End-point only,Both,Both,No,ΝΑ,Mild only,NA,53,,,35,65,,42.10%,,,,,12,9,14,,,,,,,42.10%,,15.80%,15.80%,,5.30%,,,0%,5.30%,,,,68.40%,,,47.40%,5.30%,,21.10%,10.50%,10.50%,,10.50%,,,,,,,100%,,,3.9,3.1,5.7,,,,,0,,,1.3,0.9,1.6,,,,,,,,,25.2,22,,7,,,,,,,,374,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,na,,,,,,,,
41,0,China,Xiaogan,114,Imaging manifestations and diagnostic value of chest CT of coronavirus disease 2019 (COVID-19) in the Xiaogan area,COVID-19) in the Xiaogan area,Wang et al.,https://www.sciencedirect.com/science/article/pii/S000992602030088X,English,include CT findings but not outcomes/treatment received,Agni,Irra,1/25/2020,2/9/2020,15,Top-level,All,Positive only,Active only,Both,Both,No,ΝΑ,Mild only,NA,53,,,23,78,,50.90%,78.90%,,,,,,,,,,,,,52.60%,28.90%,13.20%,6.10%,,4.40%,0.90%,,,5.30%,,,,93.90%,,38.6,79.80%,23.70%,,7.90%,,,,2.70%,,,5.30%,,,,100.00%,0.00%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na,,,,,,,,
42,0,China,Shandong,537,山东省新型冠状病毒肺炎患者 537 例临床特征与救治效果,山东大学学报(医学版),周生余，王春亭，张伟，王锡明，董亮,,Chinese,,Yuchen,Irra,1/19/2020,2/15/2020,27,Top-level,,Positive only,End-point and active,Both,Both,Yes,Both,All,,,,,,,,55.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,87.90%,,,35.90%,,,,,8.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.40%,,,,
42,1,China,Shandong,509,山东省新型冠状病毒肺炎患者 537 例临床特征与救治效果,山东大学学报(医学版),周生余，王春亭，张伟，王锡明，董亮,,Chinese,,Irra,Irra,1/19/2020,2/15/2020,27,Subgroup,Common,Positive only,End-point and active,Both,Both,Yes,Both,Mild only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.54%,,,,,,,,
42,2,China,Shandong,16,山东省新型冠状病毒肺炎患者 537 例临床特征与救治效果,山东大学学报(医学版),周生余，王春亭，张伟，王锡明，董亮,,Chinese,,Irra,Irra,1/19/2020,2/15/2020,27,Subgroup,Severe,Positive only,End-point and active,Both,Both,Yes,Both,Severe/Critical Only,,,,,,,,62.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.80%,98.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,3,China,Shandong,12,山东省新型冠状病毒肺炎患者 537 例临床特征与救治效果,山东大学学报(医学版),周生余，王春亭，张伟，王锡明，董亮,,Chinese,,Irra,Irra,1/19/2020,2/15/2020,27,Subgroup,Critical,Positive only,End-point and active,Both,Both,Yes,Both,Severe/Critical Only,,,,,,,,41.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0,China,Hubei,49,湖北省十堰市新型冠状病毒肺炎 49 例临床分析,第三军医大学学报,赵琴，雷旭，刘龙，占国清，李儒贵，李金科，李芳，杜卫星，李健，杨靖， 谭华炳,DOI：10.16016/j.1000-5404.202002107,Chinese,,Yuchen,Irra,1/23/2020,2/9/2020,17,Top-level,,Positive only,,,,,,,,48,,,,,,51.02%,,91.80%,,,,,,,,,,,,36.73%,,,,,,,,,,,,,87.76%,,,65.31%,12.24%,24.49%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,China,Hubei,463,普通型和重型新型冠状病毒肺炎康复患者463例临床特征分析,上海医学,程克斌，魏明，沈虹，吴超民，陈德昌，熊维宁，周新，张定宇，郑军华,,Chinese,,Yuchen,Irra,1/1/2020,2/6/2020,36,Top-level,survival,Positive only,Active only,Survivors only,Discharged only,Yes,Both,All,,51,,,,,,52.70%,,,,,9,7,12.5,,,,,,,44.28%,23.11%,8.64%,6.05%,,,,,,,,,,89.63%,38.5,40.5,77.06%,41.90%,13.17%,31.53%,,28.08%,,,,,,,,,,,,5.44,4.09,7.52,126,,114,126,,,,1.07,0.76,1.46,212,,155,285,,,,,,,,,,,,,,,,,,,,,,,,100%,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,0.00%,,,,
44,1,China,Hubei,282,普通型和重型新型冠状病毒肺炎康复患者463例临床特征分析,上海医学,程克斌，魏明，沈虹，吴超民，陈德昌，熊维宁，周新，张定宇，郑军华,,Chinese,,Irra,Irra,1/1/2020,2/6/2020,36,Subgroup,Common,Positive only,Active only,Survivors only,Discharged only,Yes,Both,Mild only,,49,,,42,58,,51.42%,,,,,10,7,13,,,,,,,40.43%,19.15%,7.09%,4.26%,,,,,,,,,,86.88%,38.4,,74.82%,39.72%,5.32%,29.08%,,28.72%,,,,,,,,,,,,5.17,4.08,,6.71,,115,138,,,,1.18,0.87,1.61,214,,165,285,,,,,,,,,,,,,,,,,,,,,,,,100%,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,0.00%,,,,
44,2,China,Hubei,181,普通型和重型新型冠状病毒肺炎康复患者463例临床特征分析,上海医学,程克斌，魏明，沈虹，吴超民，陈德昌，熊维宁，周新，张定宇，郑军华,,Chinese,,Irra,Irra,1/1/2020,2/6/2020,36,Subgroup,Severe,Positive only,Active only,Survivors only,Discharged only,Yes,Both,Severe/Critical Only,,54,,,46,64,,54.70%,,,,,8,7,12,,,,,,,50.28%,29.28%,11.05%,8.84%,,,,,,,,,,93.92%,38.9,,80.11%,45.30%,5.52%,35.36%,,27.07%,,,,,,,,,,,,5.92,4.13,,8.26,,107,136,,,,0.95,0.63,1.3,204,,142,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,0.00%,,,,
45,0,China,,76,76例新型冠状病毒肺炎患者的临床及CT影像特征分析,中医杂志,陈甜，蒋宗焰，许炜，张清,,Chinese,,Yuchen,,,,0,Subgroup,,Positive only,End-point and active,,,Yes,ICU only,All,,62,,,,,,55.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,75%,,,67.11%,18.42%,,,,38.16%,,,,,6.58%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.94%,,,,
46,0,China,Henan,524,河南省524例新型冠状病毒肺炎患者临床特征及中医证候分布,中医杂志,李建生，李素云，谢洋，赵虎雷，冯贞贞，春柳，王佳佳，孙博倩,,Chinese,,Yuchen,Irra,2/1/2020,2/20/2020,19,Top-level,,Positive only,,,,Yes,,All,,45,,,33,55,,58.00%,,54.80%,62.20%,,10,6,15,,,,,,,,,,,,,,,,,,,,47.30%,,,12.79%,26.34%,5.53%,11.07%,5.15%,31.30%,,2.67%,4.20%,,16.79%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1,China,Henan,,河南省524例新型冠状病毒肺炎患者临床特征及中医证候分布,中医杂志,李建生，李素云，谢洋，赵虎雷，冯贞贞，春柳，王佳佳，孙博倩,,Chinese,,,Irra,2/2/2020,2/21/2020,19,Subgroup,Common,Positive only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2,China,Henan,,河南省524例新型冠状病毒肺炎患者临床特征及中医证候分布,中医杂志,李建生，李素云，谢洋，赵虎雷，冯贞贞，春柳，王佳佳，孙博倩,,Chinese,,,Irra,2/3/2020,2/22/2020,19,Subgroup,Severe,Positive only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,3,China,Henan,,河南省524例新型冠状病毒肺炎患者临床特征及中医证候分布,中医杂志,李建生，李素云，谢洋，赵虎雷，冯贞贞，春柳，王佳佳，孙博倩,,Chinese,,,Irra,2/4/2020,2/23/2020,19,Subgroup,Critical,Positive only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,0,China,Chongqing,223,重庆市223例新型冠状病毒肺炎患者的临床特征分析,西南大学学报(自然科学版),袁婧，孙艳雨，左玉洁，陈婷颖，曹齐，袁国丹，杨梅，张维，彭安周，陈 耀凯,,Chinese,,Irra,,1/24/2020,2/23/2020,30,Top-level,All,Positive only,End-point and active,Both,Both,Yes,ΝΑ,All,Both,,46.5,,30.4,62.6,,47.10%,,28.70%,34.10%,,,,,5,,,,15.70%,,24.20%,11.20%,8.10%,0.40%,,0.40%,,,,4%,3.10%,,,53.40%,,,50.70%,6.70%,4.90%,12.10%,5.40%,5.40%,,5.40%,,,,,,,,,,,,,135.1,,,,,,69.4,1.5,,,199.8,,,,18.8,,,,20,30,,,,,,,,,,,,,,,,,,,100%,,,,,,,,58.30%,,5.40%,1.30%,,7.60%,,,,,,,,,,,,,,,,,,,,50.20%,,14,11.9,0.00%,0.00%,,,
47,1,China,Chongqing,223,重庆市223例新型冠状病毒肺炎患者的临床特征分析,西南大学学报(自然科学版),袁婧，孙艳雨，左玉洁，陈婷颖，曹齐，袁国丹，杨梅，张维，彭安周，陈 耀凯,,Chinese,,Irra,,1/24/2020,2/23/2020,30,Subgroup,Common,Positive only,End-point and active,Both,Both,Yes,ΝΑ,Mild only,Both,,44.9,,28.9,60.9,,45.30%,,27.60%,37.50%,,,,,4,,,,15.60%,,20.80%,10.90%,5.20%,0.50%,,0.50%,,,,3.60%,1.00%,,,47.90%,,,49.50%,0,5.20%,10.40%,5.20%,5.20%,,6.30%,,,,,,,,,,,,,135.9,,,,,,69.5,1.5,,,197.8,,,,19.2,,,,20,26,,,,,,,,,,,,,,,,,,,100%,,,,,,,,63.50%,,0,0,,9%,,,,,,,,,,,,,,,,,,,,52.60%,,13.8,11.7,0.00%,0.00%,,,
