ID,SUB_ID,Country,Province/State,Study Pop Size (N),Proportion of values entered in row (%),Paper Title,Journal,Author,Source,Language,Peer-Reviewed? (As of 2 April 2020),Study Type: Observational or Randomized Clinical Trial (RCT)?,Study start date (mm/dd/yyyy),Study end date (mm/dd/yyyy),Study length (days),Overall study population or subgroup?,Subgroup,Positive/negative cases,End-point vs Active,Survivors,Discharged,Contains Any Treatment?,ICU vs. non-ICU,Severity,Ventilation,Median Age,Mean Age,Age SD,Age LQ,Age UQ,% Healthcare Worker,% Male,% White or European,% African American,% Asian,% Hispanic or Latino,% Multiple ethnicities or other,Exposure history (%),Exposure - Wuhan Travel (%),Exposure - Personal Contact (%),Incubation period (days) - Mean,Incubation period (days) - Median,Incubation period (days) - LQ,Incubation period (days) -  Higher Quartile,Time From Symptoms Appearance to Hospitalization (days) - Mean,Time From Symptoms Appearance to Hospitalization (days) - Median,Time From Symptoms Appearance to Hospitalization (days) - LQ,Time From Symptoms Appearance to Hospitalization (days) - UQ,Smoking history,Current drinker,BMI,Obesity,Any Comorbidity,Hypertension,Diabetes,Cardiovascular Disease (incl. CAD),Chronic obstructive lung (COPD),Cancer (Any),Liver Disease (any),Cerebrovascular Disease,Chronic kidney/renal disease,Other,Fever (temperature ≥37·3°C),Average temperature (celsius),Max temperature (celsius),Respiratory rate > 24 breaths per min,Cough,Shortness of Breath (dyspnoea),Headache,Sputum (/Expectoration),Myalgia (Muscle Pain),Fatigue,Upper air-way congestion,Diarrhoea,Nausea or Vomiting,Loss of Appetite/Anorexia,Sore Throat/Stuffy Nose,Chills,Chest Pain,Loss of smell/taste,Disease Severity Asymptomatic,Disease Severity General,Disease Severity Severe,Disease Severity Critical,"Imaging Findings Available? (yes=1, no=0)",White Blood Cell Count (10^9/L) - Median,White Blood Cell Count (10^9/L) - LQ,White Blood Cell Count (10^9/L) - UQ,Lymphocyte Count (10^9/L) - Median,Lymphocyte Count (10^9/L) - LQ,Lymphocyte Count (10^9/L) - UQ,CD4+ T Lymphocyte (Count),CD8+ T Lymphocyte (Count),Platelet Count (10^9/L) - Median,Platelet Count (10^9/L) - LQ,Platelet Count (10^9/L) - UQ,Neutrophil Count (10^9/L) - Median,Neutrophil Count (10^9/L) - LQ,Neutrophil Count (10^9/L) - UQ,Hemoglobin (g/L) - Median,Hemoglobin (g/L) - LQ,Hemoglobin (g/L) - UQ,Hematocrit (%),Albumin (g/L),Alanine Aminotransferase (U/L),Aspartate Aminotransferase (U/L),Total Bilirubin (umol/L) - Median,Total Bilirubin (umol/L) - LQ,Total Bilirubin (umol/L) - UQ,Blood Urea Nitrogen (mmol/L),Creatinine (μmol/L),Creatine Kinase (U/L),C-Reactive Protein (mg/L),Gamma-Glutamyl Transferase (U/L),Interleukin-6 (pg/mL),Procalcitonin (ng/mL),D-Dimer (mg/L),Prothrombin Time (s),Antibiotic,Antiviral (Any),Uses Kaletra (lopinavir–ritonavir),Uses Favipiravir,Uses Tamiflu (oseltamivir),Uses Remdesivir,Uses umif+lop-rit,Uses Arbidol (umifenovir),Uses hydroxychloroquine and/or chloroquine,"Corticosteroid (including Glucocorticoid, Methylprednisolone)",Intravenous immunoglobin,Nasal cannula,High-flow nasal cannula oxygen therapy,Oxygen therapy,Noninvasive mechanical ventilation,Invasive mechanical ventilation,ECMO,Renal replacement therapy,Interferon Alpha-1b,Thymalfasin and/or Thymosin,Sepsis,Respiratory failure or ARDS,Respiratory failure,ARDS,Hypoxemia,Heart failure,Septic shock / shock,Liver dysfunction,Coagulopathy,Acute cardiac injury,Acute kidney injury (AKI),Secondary infection/ Bacterial infection,Hypoproteinaemia,Acidosis,Hospital admission (%),ICU admission,Discharged (%),"ICU length of stay, days","Hospital length of stay, days",Days to Viral Clearance (Median),Mortality,Projected Mortality (accounting for patients not currently discharged)
120,0,USA,Washington,24,36.52%,Covid-19 in Critically Ill Patients in the Seattle Region — Case Series,NEJM,Bhatraju et. al.,https://www.nejm.org/doi/pdf/10.1056/NEJMoa2004500?articleTools=true,English,Yes,Observational,2/24/20,3/9/20,14,Top-level,Severe,Positive only,End-point and active,Both,Both,Yes,ICU only,Severe/Critical Only,Both,,64,18,,,,63%,,,,,,54%,,54%,,,,,7,,3,11,22%,,,,,,58%,,4%,0%,,,21%,21%,50%,,,83%,88%,88%,8%,42%,,,,,,,17%,,,,,,,,1,8.43,5.63,12.45,0.72,0.52,1.38,,,180,109,257,,,,,,,,,,,10.26,8.55,11.97,,,,,,,,,,,,,,,,,,,,,42%,0%,,,75%,,,,,,,,,,,,,,,,,,,1,1,0.21,9,12,17,0.5,0.71
121,0,China,Wuhan,206,27.53%,"Digestive Symptoms in COVID-19 Patients with Mild Disease Severity: Clinical Presentation, Stool Viral RNA Testing, and Outcomes",,Han et. al.,https://journals.lww.com/ajg/Documents/COVID19_Han_et_al_AJG_Preproof.pdf,English,Yes,Observational,2/13/20,2/29/20,16,Top-level,General,Positive only,End-point only,Survivors only,Discharged only,No,ΝΑ,All,ΝΑ,62.5,,,27,92,,44.17%,0%,0%,100%,0%,0%,,,,,,,,14.4,,,,,,,,,27.20%,10.20%,8.30%,3.90%,,,8.30%,,7.80%,67%,,38.5,,27.50%,14.60%,,,21.40%,45.10%,,32.50%,11.70%,15.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,23.7,,0,0
121,1,China,Wuhan,48,27.53%,"Digestive Symptoms in COVID-19 Patients with Mild Disease Severity: Clinical Presentation, Stool Viral RNA Testing, and Outcomes",,Han et. al.,https://journals.lww.com/ajg/Documents/COVID19_Han_et_al_AJG_Preproof.pdf,English,Yes,Observational,2/13/20,2/29/20,16,Subgroup,Digestive Only,Positive only,End-point only,Survivors only,Discharged only,No,ΝΑ,All,ΝΑ,63.5,,,32,92,,27.08%,0%,0%,100%,0%,0%,,,,,,,,16,,,,,,,,,25%,12.50%,12.50%,4.20%,,,12.50%,,6.30%,39.60%,,38.5,,0%,0%,,,12.50%,52.10%,,47.90%,14.60%,31.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,24.9,,0,0
121,2,China,Wuhan,89,27.53%,"Digestive Symptoms in COVID-19 Patients with Mild Disease Severity: Clinical Presentation, Stool Viral RNA Testing, and Outcomes",,Han et. al.,https://journals.lww.com/ajg/Documents/COVID19_Han_et_al_AJG_Preproof.pdf,English,Yes,Observational,2/13/20,2/29/20,16,Subgroup,Respiratory Only,Positive only,End-point only,Survivors only,Discharged only,No,ΝΑ,All,ΝΑ,65,,,27,91,,53.93%,0%,0%,100%,0%,0%,,,,,,,,11.6,,,,,,,,,27%,7.90%,7.90%,3.40%,,,7.90%,,7.90%,73%,,38.5,,29.60%,10.10%,,,13.50%,31.50%,,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,21.9,,0,0
121,3,China,Wuhan,69,27.53%,"Digestive Symptoms in COVID-19 Patients with Mild Disease Severity: Clinical Presentation, Stool Viral RNA Testing, and Outcomes",,Han et. al.,https://journals.lww.com/ajg/Documents/COVID19_Han_et_al_AJG_Preproof.pdf,English,Yes,Observational,2/13/20,2/29/20,16,Subgroup,Digestive + Respiratory,Positive only,End-point only,Survivors only,Discharged only,No,ΝΑ,All,ΝΑ,56,,,27,84,,43.48%,0%,0%,100%,0%,0%,,,,,,,,12.2,,,,,,,,,29%,11.60%,5.80%,4.30%,,,5.80%,,8.70%,78.30%,,38.4,,39.10%,30.40%,,,37.70%,60%,,63.80%,24.60%,24.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,25.3,,0,0
122,1,USA,Washington,53,22.47%,"Asymptomatic and Presymptomatic SARS-CoV-2 Infections in Residents of a Long-Term Care Skilled Nursing Facility — King County, Washington, March 2020",CDC,CDC,https://www.cdc.gov/mmwr/volumes/69/wr/mm6913e1.htm,English,No,Observational,2/28/20,3/20/20,21,Subgroup,Negative Cases,Negative only,Active only,Both,Both,No,ΝΑ,All,NA,,75.1,,,,,39.60%,,,,,,,,,,,,,,,,,13.20%,,,21%,100%,,37.70%,67.90%,30.20%,,,36%,34%,,5.70%,,,,11.30%,0%,0%,,0%,,1.90%,5.70%,0%,,3.80%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,2,USA,Washington,23,22.47%,"Asymptomatic and Presymptomatic SARS-CoV-2 Infections in Residents of a Long-Term Care Skilled Nursing Facility — King County, Washington, March 2020",CDC,CDC,https://www.cdc.gov/mmwr/volumes/69/wr/mm6913e1.htm,English,No,Observational,2/28/20,3/20/20,21,Subgroup,Positive Cases,Positive only,Active only,Both,Both,No,ΝΑ,All,NA,,80.7,,,,,30.40%,,,,,,,,,,,,,,,,,4.40%,,,26.10%,95.70%,,39.10%,87%,43.50%,,,34.80%,39.10%,,4.30%,,,,30.40%,4.40%,0%,,0%,,0%,4.40%,13%,,8.70%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,0,China,Wuhan,67,46.63%,"A Multicentre Study of Coronavirus Disease 2019 Outcomes of Cancer Patients in Wuhan, China",MedRxiv,Zhang et al.,https://www.medrxiv.org/content/10.1101/2020.03.21.20037127v1.full.pdf,English,No,Observational,1/5/20,3/10/20,65,Top-level,General,Positive only,End-point and active,Both,Both,Yes,ΝΑ,All,Both,66,,,,,,61.10%,0%,0%,100%,0%,0%,,,,,,,,,,,,13.40%,,,,,53.70%,19.40%,11.90%,4.50%,100%,6%,7.50%,3%,,79.10%,,,,74.60%,65.70%,,44.80%,9%,44.80%,,16.40%,14.90%,,,,,,,,,,1,5.72,2.96,8.48,0.61,0.39,1.1,,,174,105.5,221.5,3.97,2.8,6.3,117.37,100.02,134.72,,35.15,28,28,9.7,7.4,14.8,5.16,67.7,,36.28,,,0.12,,,,85.10%,,,,,,,,44.80%,20.90%,,,73.10%,29.90%,11.90%,,,,,,,,20.90%,,16.40%,,,,,3%,,,,1,,0.58,,,,0.27,0.32
123,1,China,Wuhan,35,46.63%,"A Multicentre Study of Coronavirus Disease 2019 Outcomes of Cancer Patients in Wuhan, China",MedRxiv,Zhang et al.,https://www.medrxiv.org/content/10.1101/2020.03.21.20037127v1.full.pdf,English,No,Observational,1/5/20,3/10/20,65,Subgroup,Mild,Positive only,End-point and active,Both,Both,Yes,ΝΑ,Mild only,Both,64,,,,,,51.40%,0%,0%,100%,0%,0%,,,,,,,,,,,,11.40%,,,,,37.10%,11.40%,2.90%,0%,100%,8.60%,5.70%,0%,,84.40%,,,,77.10%,57.10%,,57.10%,14.30%,42.90%,,11.40%,11.40%,,,,,,,,,,1,5.09,3.52,6.66,0.9,0.44,1.22,,,196,151,244.75,3.9,3,4.98,120.18,104.78,135.58,,37.19,23,24,9.17,7.75,11.88,4.3,63,,39.29,,,0.06,,,,88.60%,,,,,,,,28.60%,11.40%,,,65.70%,25.70%,0%,,,,,,,,0%,,0%,,,,,0%,,,,1,,0.91,,,,0,0
123,2,China,Wuhan,32,46.63%,"A Multicentre Study of Coronavirus Disease 2019 Outcomes of Cancer Patients in Wuhan, China",MedRxiv,Zhang et al.,https://www.medrxiv.org/content/10.1101/2020.03.21.20037127v1.full.pdf,English,No,Observational,1/5/20,3/10/20,65,Subgroup,Severe,Positive only,End-point and active,Both,Both,Yes,ΝΑ,Severe/Critical Only,Both,69,,,,,,71.90%,0%,0%,100%,0%,0%,,,,,,,,,,,,15.60%,,,,,71.90%,28.10%,21.90%,9.40%,100%,3.10%,9.40%,6.30%,,86.70%,,,,71.90%,75%,,31.30%,3.10%,46.90%,,21.90%,18.80%,,,,,,,,,,1,6.41,2.83,9.99,0.56,0.31,0.92,,,144.5,80.75,194.25,4.38,2.69,7,113.94,94.43,133.45,,32.72,31.5,39.5,11.3,6.85,16.9,6.55,77.5,,94.47,,,0.26,,,,81.30%,,,,,,,,62.50%,31.30%,,,81.30%,34.40%,21.90%,,,,,,,,43.80%,,34.40%,,,,,6.30%,,,,1,,0.22,,,,0.56,0.72
123,3,China,Wuhan,49,47.19%,"A Multicentre Study of Coronavirus Disease 2019 Outcomes of Cancer Patients in Wuhan, China",MedRxiv,Zhang et al.,https://www.medrxiv.org/content/10.1101/2020.03.21.20037127v1.full.pdf,English,No,Observational,1/5/20,3/10/20,65,Subgroup,Survivors,Positive only,End-point and active,Survivors only,Both,Yes,ΝΑ,All,Both,65,,,,,,55.10%,0%,0%,100%,0%,0%,,,,,,,,,,,,12.20%,,,,,49%,16.30%,4.10%,0%,100%,6.10%,4.10%,2%,,77.60%,,,,75.50%,61.20%,,46.90%,10.20%,38.80%,,18.40%,10.20%,,,,,,,,,,1,5.18,3.25,7.11,0.77,0.42,1.15,,,192,150,238,3.76,2.69,4.98,118.4,101,135.8,,35.57,28,25.5,9.44,7.45,14.36,4.67,64.5,,43.97,,,0.08,,,,87.80%,,,,,,,,36.70%,20.40%,,,69.40%,26.50%,0%,,,,,,,,0%,,0%,,,,,2.20%,,,,1,,0.8,,31,,0,0
123,4,China,Wuhan,18,47.19%,"A Multicentre Study of Coronavirus Disease 2019 Outcomes of Cancer Patients in Wuhan, China",MedRxiv,Zhang et al.,https://www.medrxiv.org/content/10.1101/2020.03.21.20037127v1.full.pdf,English,No,Observational,1/5/20,3/10/20,65,Subgroup,Non-survivors,Positive only,End-point only,Non-Survivors only,Discharged only,Yes,ΝΑ,Severe/Critical Only,Both,69.5,,,,,,77.80%,0%,0%,100%,0%,0%,,,,,,,,,,,,16.70%,,,,,66.70%,27.80%,33.30%,16.70%,100%,5.60%,16.70%,5.60%,,83.30%,,,,72.20%,77.80%,,0.389,5.60%,55.60%,,11.10%,27.80%,,,,,,,,,,1,7.38,3.04,11.72,0.4,0.23,0.55,,,101,59,140,6.91,4.42,7.37,113.24,95.18,131.3,,33.48,29,39,11.2,7.55,23.35,8.89,81,,149.43,,,0.72,,,,77.80%,,,,,,,,66.70%,22.20%,,,83.30%,38.90%,44.40%,,,,,,,,77.80%,,61.10%,,,,,5.60%,,,,1,,0,,20,,1,1
124,0,China,Wuhan,12,23.60%,"SARS-CoV-2 Transmission in Patients With Cancer at a Tertiary Care Hospital in Wuhan, China",JAMA Oncology,Yu et. al.,doi:10.1001/jamaoncol.2020.0980,English,Yes,Observational,12/30/19,2/17/20,50,Top-level,General,Positive only,End-point and active,Both,Both,No,Both,All,,66,,,,,,83.30%,0%,0%,100%,0%,0%,,,,,,,,3.33,0,0,4,,,,,100%,,,,,100%,,,,,100%,,,,25%,25%,,,,,,,,,,,,,,75%,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.08,0.5,,20.1,,0.25,
125,0,China,Zhejiang,36,37.64%,"Clinical and epidemiological features of 36 children with coronavirus disease 2019 (COVID-19) in Zhejiang, China: an observational cohort study",Lancet Infectious Disease,Qiu et. al.,https://www.sciencedirect.com/science/article/pii/S1473309920301985,English,Yes,Observational,1/17/20,3/1/20,44,Top-level,General,Positive only,End-point only,Survivors only,Discharged only,Yes,Non-ICU only,Mild only,Non-ventilation only,,8.3,3.5,4.8,11.8,,64%,0%,0%,100%,0%,0%,100%,33%,89%,,,,,,,,,,,,,,,,,,,,,,,36%,37.8,,,19%,3%,8%,,,,,6%,6%,,6%,,,,,100%,,,0,6.1,4,8.2,2.4,1.6,3.2,,,,,,,,,,,,,,21,30,,,,3.8,56,96,5,,,0.24,0.29,,,,39%,,,,,,,,,,,17%,0%,0%,,,100%,,,,,,,,,,,,,,,,1,0,,,14,10,0,
125,1,China,Zhejiang,17,36.52%,"Clinical and epidemiological features of 36 children with coronavirus disease 2019 (COVID-19) in Zhejiang, China: an observational cohort study",Lancet Infectious Disease,Qiu et. al.,https://www.sciencedirect.com/science/article/pii/S1473309920301985,English,Yes,Observational,1/17/20,3/1/20,44,Subgroup,Mild,Positive only,End-point only,Survivors only,Discharged only,Yes,Non-ICU only,Mild only,Non-ventilation only,,7.5,3.2,4.3,10.7,,59%,0%,0%,100%,0%,0%,100%,29%,94%,,,,,,,,,,,,,,,,,,,,,,,24%,37.6,,,18%,0%,6%,,,,,,,,6%,,,,,100%,,,0,6.5,4.2,8.8,2.8,1.8,3.8,,,,,,,,,,,,,,21,32,,,,3.7,58,80,4,,,0.15,0.21,,,,12%,,,,,,,,,,,6%,0%,0%,,,100%,,,,,,,,,,,,,,,,1,0,,,12,9,0,
125,2,China,Zhejiang,19,37.64%,"Clinical and epidemiological features of 36 children with coronavirus disease 2019 (COVID-19) in Zhejiang, China: an observational cohort study",Lancet Infectious Disease,Qiu et. al.,https://www.sciencedirect.com/science/article/pii/S1473309920301985,English,Yes,Observational,1/17/20,3/1/20,44,Subgroup,Moderate,Positive only,End-point only,Survivors only,Discharged only,Yes,Non-ICU only,Mild only,Non-ventilation only,,9,3.6,5.4,12.6,,69%,0%,0%,100%,0%,0%,100%,37%,84%,,,,,,,,,,,,,,,,,,,,,,,47%,38,,,21%,5%,10%,,,,,10%,10%,,5%,,,,,100%,,,0,5.8,3.9,7.7,2,1.3,2.7,,,,,,,,,,,,,,20,28,,,,3.9,54,110,5,,,0.32,0.36,,,,63%,,,,,,,,,,,26%,0%,0%,,,100%,,,,,,,,,,,,,,,,1,0,,,15,11,0,
125,3,China,Zhejiang,10,30.34%,"Clinical and epidemiological features of 36 children with coronavirus disease 2019 (COVID-19) in Zhejiang, China: an observational cohort study",Lancet Infectious Disease,Qiu et. al.,https://www.sciencedirect.com/science/article/pii/S1473309920301985,English,Yes,Observational,1/17/20,3/1/20,44,Subgroup,<= 5 years old,Positive only,End-point only,Survivors only,Discharged only,Yes,Non-ICU only,Mild only,Non-ventilation only,,,,,,,60%,0%,0%,100%,0%,0%,100%,20%,100%,,,,,,,,,,,,,,,,,,,,,,,30%,37.7,,,10%,,,,,,,,,,,,,,,100%,,,0,6.5,4.3,8.7,2.9,1.8,4,,,,,,,,,,,,,,,,,,,,,124,4,,,0.13,0.2,,,,10%,,,,,,,,,,,10%,0%,0%,,,100%,,,,,,,,,,,,,,,,1,0,,,13,9,0,
125,4,China,Zhejiang,26,30.34%,"Clinical and epidemiological features of 36 children with coronavirus disease 2019 (COVID-19) in Zhejiang, China: an observational cohort study",Lancet Infectious Disease,Qiu et. al.,https://www.sciencedirect.com/science/article/pii/S1473309920301985,English,Yes,Observational,1/17/20,3/1/20,44,Subgroup,5-16 years old,Positive only,End-point only,Survivors only,Discharged only,Yes,Non-ICU only,Mild only,Non-ventilation only,,,,,,,65%,0%,0%,100%,0%,0%,100%,38%,85%,,,,,,,,,,,,,,,,,,,,,,,38%,37.9,,,23%,,,,,,,,,,,,,,,100%,,,0,5.9,3.9,7.9,5.9,3.9,7.9,,,,,,,,,,,,,,,,,,,,,85,5,,,0.28,0.32,,,,50%,,,,,,,,,,,19%,0%,0%,,,100%,,,,,,,,,,,,,,,,1,0,,,15,11,0,
126,0,China,Wuhan,62,21.91%,Efficacy of hydroxychloroquine in patients with COVID-19: results of a randomized clinical trial,MedRxiv,Chen et. al.,https://www.medrxiv.org/content/10.1101/2020.03.22.20040758v2.full.pdf,English,No,RCT,2/4/20,2/28/20,24,Top-level,General,Positive only,End-point and active,Both,Both,Yes,ΝΑ,All,Both,,44.7,15.3,,,,46.80%,0%,0%,100%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,62.90%,,,,59.68%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,100%,,,,,,,50%,,100%,,,100%,,,,,,,,,,,,,,,,,,,,,1,,0.39,,,,0.18,0.31
126,1,China,Wuhan,31,21.91%,Efficacy of hydroxychloroquine in patients with COVID-19: results of a randomized clinical trial,MedRxiv,Chen et. al.,https://www.medrxiv.org/content/10.1101/2020.03.22.20040758v2.full.pdf,English,No,RCT,2/4/20,2/28/20,24,Subgroup,Control,Positive only,End-point and active,Both,Both,Yes,ΝΑ,All,Both,,45.2,14.7,,,,48.30%,0%,0%,100%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,54.84%,,,,48.39%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,100%,,,,,,,0%,,100%,,,100%,,,,,,,,,,,,,,,,,,,,,1,,0.16,,,,0.29,0.64
126,2,China,Wuhan,31,21.91%,Efficacy of hydroxychloroquine in patients with COVID-19: results of a randomized clinical trial,MedRxiv,Chen et. al.,https://www.medrxiv.org/content/10.1101/2020.03.22.20040758v2.full.pdf,English,No,RCT,2/4/20,2/28/20,24,Subgroup,Hydroxychloroquine,Positive only,End-point and active,Both,Both,Yes,ΝΑ,All,Both,,44.1,16.1,,,,45.20%,0%,0%,100%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,70.97%,,,,70.97%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,100%,,,,,,,100%,,100%,,,100%,,,,,,,,,,,,,,,,,,,,,1,,0.61,,,,0.07,0.1
127,0,China,Wuhan,118,17.42%,SARS-CoV-2 infection in health care workers: a retrospective analysis and model study,MedRxiv,Bai et. al.,https://www.medrxiv.org/content/10.1101/2020.03.29.20047159v1.full.pdf,English,No,Observational,12/25/19,2/15/20,52,Top-level,General,Positive and Negative/Unconfirmed,Active,,,,,,,,31.1,5.8,25.3,36.9,100%,36.40%,0%,0%,100%,0%,0%,,,,,,,,,,,,0.08%,0.08%,22.1,,12.70%,,,,7.60%,,,,,5.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,1,China,Wuhan,106,17.42%,SARS-CoV-2 infection in health care workers: a retrospective analysis and model study,MedRxiv,Bai et. al.,https://www.medrxiv.org/content/10.1101/2020.03.29.20047159v1.full.pdf,English,No,Observational,12/25/19,2/15/20,52,Subgroup,Negative Cases,Negative only,Active,,,,,,,,30.5,5.3,25.2,35.8,100%,35.90%,0%,0%,100%,0%,0%,,,,,,,,,,,,8.50%,9.40%,22,,13.30%,,,,7.60%,,,,,5.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,2,China,Wuhan,12,16.85%,SARS-CoV-2 infection in health care workers: a retrospective analysis and model study,MedRxiv,Bai et. al.,https://www.medrxiv.org/content/10.1101/2020.03.29.20047159v1.full.pdf,English,No,Observational,12/25/19,2/15/20,52,Subgroup,Positive Cases,Positive only,Active,,,,,,,,36.6,7.4,29.2,44,100%,41.70%,0%,0%,100%,0%,0%,,,,,,,,,,,,0%,0%,22.4,,8.30%,,,,8.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,0,Germany,Bavaria,12,20.79%,Outbreak of COVID-19 in Germany Resulting from a Single Travel-Associated Primary Case,The Lancet Preprints,Bohmer et. al.,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551335,English,No,Observational,1/16/20,2/19/20,34,Top-level,General,,,,,,,Mild only,,35,,,,,0%,,100%,0%,0%,0%,0%,100%,,100%,,4,,,,,,,,,,,,,,,,,,,,,43.80%,,,,50%,18.80%,37.50%,,25%,56.30%,,12.50%,25%,6.30%,43.80%,18.80%,12.50%,,6.20%,94%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,0,China,Wuhan,38,24.72%,"Characteristics of Ocular Findings of Patients With Coronavirus Disease 2019 (COVID-19) in Hubei Province, China",JAMA Opthamology,Wu et. al.,https://jamanetwork.com/journals/jamaophthalmology/fullarticle/2764083,English,Yes,Observational,2/9/20,2/15/20,6,Top-level,General,Positive only,Active only,Both,Non-discharged only,No,ΝΑ,All,Both,68,,,53,76,,65.80%,0%,0%,100%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,60.60%,39.40%,,,7.36,,,0.89,,,,,184.39,,,5.92,,,,,,,,31.08,35.58,,,,41.24,1.61,101.82,5.17,,,,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
129,1,China,Wuhan,12,33.15%,"Characteristics of Ocular Findings of Patients With Coronavirus Disease 2019 (COVID-19) in Hubei Province, China",JAMA Opthamology,Wu et. al.,https://jamanetwork.com/journals/jamaophthalmology/fullarticle/2764083,English,Yes,Observational,2/9/20,2/15/20,6,Subgroup,Ocular symptoms,Positive only,Active only,Both,Non-discharged only,No,ΝΑ,All,Both,67,,,52,76,,58.30%,0%,0%,100%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,66.67%,38.05,,,50%,16.67%,0%,25%,0%,0%,0%,0%,0%,0%,0%,0%,8.33%,,0%,33.30%,66.70%,,,10.9,,,0.71,,,,,184.58,,,9.51,,,,,,,,39.83,45.33,,,,20.21,1.94,91.08,8.55,,,,2.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
129,2,China,Wuhan,26,24.72%,"Characteristics of Ocular Findings of Patients With Coronavirus Disease 2019 (COVID-19) in Hubei Province, China",JAMA Opthamology,Wu et. al.,https://jamanetwork.com/journals/jamaophthalmology/fullarticle/2764083,English,Yes,Observational,2/9/20,2/15/20,6,Subgroup,No ocular symptoms,Positive only,Active only,Both,Non-discharged only,No,ΝΑ,All,Both,70,,,62,79,,69.20%,0%,0%,100%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,73.10%,26.90%,,,5.73,,,0.98,,,,,184.31,,,4.26,,,,,,,,27.04,31.08,,,,50.94,1.46,106.77,3.61,,,,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
130,0,Germany,Munich,9,36.52%,Virological assessment of hospitalized patients with COVID-2019,Nature,Wolfel et. al.,https://www.nature.com/articles/s41586-020-2196-x_reference.pdf,English,Yes,Observational,1/27/20,2/24/20,28,Top-level,General,Positive only,End-point only,Both,Discharged only,No,ΝΑ,All,Both,,,,,,,,100%,0%,0%,0%,0%,,,,,,,,,,,,,,,,33%,0%,0%,0%,11%,0%,0%,0%,0%,22%,22%,,,,78%,0%,0%,0%,0%,0%,0%,22%,0%,0%,67%,0%,0%,,11%,89%,0%,0%,0,,,,1.5,0.9,1.9,,,,,,4.62,2.5,4.87,,,,,,,,,,,,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,0,0
